name frequency mean_age
maria candelaria 9468 51.9
hortensia 9424 67.6
amaya 9314 33.9
candelaria 9301 61.1
eloisa 9254 59.5
maria dolors 9190 59.2
ana cristina 9169 37
maria purificacion 9064 60.4
adelaida 9061 60.2
maria carme 8856 56.3
marcelina 8748 70.6
anna maria 8606 49.3
maria sagrario 8575 58.6
gisela 8450 19.2
flora 8413 65.7
azucena 8395 44.6
maria aurora 8298 54.5
visitacion 8292 68.6
elia 8230 32.6
angela maria 8216 37.6
maria pino 8177 55.1
micaela 8168 58.6
jenifer 8119 24
elena maria 8116 36.3
irina 8114 29.4
anabel 8106 25.2
monserrat 8095 44.9
nayara 8087 8.2
fernanda 8069 62.1
estibaliz 7989 31.7
maria blanca 7930 56
irati 7794 12.3
regina 7769 55.6
salma 7743 8.9
nazaret 7742 18.2
maria auxiliadora 7683 46.4
yasmina 7681 19.1
fuensanta 7649 56.7
edurne 7634 26.7
paulina 7607 61.6
abril 7581 6.5
zaira 7565 13.6
luisa maria 7561 44.7
rosa ana 7536 41.6
avelina 7516 69.5
jana 7515 12.3
aicha 7420 40.3
delia 7395 45.8
maria socorro 7389 62.9
maria paloma 7386 50.7
maria valle 7352 48.1
marta maria 7319 38.6
naima 7291 35.2
virtudes 7240 65.1
maria guadalupe 7213 50.5
florencia 7185 65.3
salvadora 7134 64.7
maria lucia 7133 47.4
arantxa 7096 25
dolors 7029 67.4
maria estrella 7018 53.6
maria gema 6998 42.6
sebastiana 6978 66.2
delfina 6976 68
vera 6968 12.2
laura maria 6956 29.1
ainoa 6948 16.3
inmaculada concepcion 6938 38.9
maria desamparados 6898 54.6
luna 6874 10.9
alexia 6862 11.1
genoveva 6845 60.3
mariona 6762 15.7
angelica 6752 40.7
felipa 6728 71.9
maria elisa 6691 52.5
justa 6687 71
marisol 6679 45.8
patrocinio 6656 69.4
fabiola 6636 36.8
maria sonia 6627 42.7
ines maria 6601 42
luz maria 6581 39.2
samira 6580 27.2
jesica 6577 27.5
jesusa 6571 73.5
maria angels 6558 53.3
aya 6552 6.2
angelina 6519 60.1
maria cinta 6516 56.2
mariam 6490 15.3
ingrid 6487 26.6
yanira 6485 12.2
alfonsa 6482 66.4
idoia 6463 35.1
maria olga 6462 54.3
sabina 6458 53.1
maria vicenta 6392 55.6
aurea 6366 65.3
coral 6352 22.2
maria natividad 6327 59.2
liliana 6316 38.1
palmira 6265 66.5
isidora 6249 68.4
lorenza 6231 68.7
mireya 6211 20.6
maria angela 6180 57.1
obdulia 6130 68.3
iratxe 6024 27.1
rosana 6000 33.9
izaskun 5998 36.4
maider 5992 22.5
desamparados 5990 63
mihaela 5978 35
nagore 5947 21.6
carmen rosa 5878 50.8
malika 5878 44.4
maria beatriz 5854 43.8
maria angustias 5842 54.5
reyes 5839 45.4
vega 5822 5.8
gracia 5806 58.9
maria araceli 5787 50.4
dionisia 5780 71
alma 5779 8.4
mara 5774 10.8
maria fatima 5765 45.3
brigida 5752 64.2
jacinta 5698 68.7
amina 5642 29.2
fatiha 5635 38.6
debora 5626 27.3
modesta 5609 70.1
